date,ticker,firm_low,firm_high,prev_close,atm_iv,call_iv,put_iv,iv_skew,sigma_daily,next_date,actual_close,actual_high,actual_low,rv_1s_low,rv_1s_high,rv_2s_low,rv_2s_high,iv_1s_low,iv_1s_high,iv_2s_low,iv_2s_high,blend_1s_low,blend_1s_high,blend_2s_low,blend_2s_high,firm_hit,iv_1s_hit,iv_2s_hit,rv_1s_hit,rv_2s_hit,blend_1s_hit,blend_2s_hit
2025-12-15,AMZN,222.000000,236.000000,226.000000,,,,,0.016731,2025-12-16,222.559998,223.660004,221.130005,222.218787,229.781213,218.437574,233.562426,,,,,222.218787,229.781213,218.437574,233.562426,True,False,False,True,True,True,True
2025-12-15,META,629.000000,672.000000,644.000000,,,,,0.017279,2025-12-16,655.979919,661.360276,642.054746,632.872572,655.127428,621.745144,666.254856,,,,,632.872572,655.127428,621.745144,666.254856,True,False,False,False,True,False,True
2025-12-15,GOOGL,307.000000,324.000000,309.000000,,,,,0.021733,2025-12-16,306.171478,310.366000,302.196641,302.284648,315.715352,295.569295,322.430705,,,,,302.284648,315.715352,295.569295,322.430705,False,False,False,True,True,True,True
2025-12-15,NFLX,87.000000,99.000000,95.000000,,,,,0.024712,2025-12-16,94.570000,94.930000,93.320000,92.652389,97.347611,90.304778,99.695222,,,,,92.652389,97.347611,90.304778,99.695222,True,False,False,True,True,True,True
2025-12-15,TSLA,436.000000,468.000000,459.000000,,,,,0.023309,2025-12-16,489.880005,491.500000,465.829987,448.301357,469.698643,437.602714,480.397286,,,,,448.301357,469.698643,437.602714,480.397286,False,False,False,False,False,False,False
2025-12-15,NVDA,171.000000,183.000000,175.000000,,,,,0.019225,2025-12-16,177.710388,178.480351,174.890533,171.635688,178.364312,168.271376,181.728624,,,,,171.635688,178.364312,168.271376,181.728624,True,False,False,True,True,True,True
2025-12-15,ORCL,185.000000,210.000000,190.000000,,,,,0.036964,2025-12-16,187.497787,188.640773,183.363207,182.976879,197.023121,175.953757,204.046243,,,,,182.976879,197.023121,175.953757,204.046243,True,False,False,True,True,True,True
2025-12-16,MSFT,469.000000,489.000000,475.000000,,,,,0.014270,2025-12-17,474.009094,477.871897,472.894065,468.221646,481.778354,461.443291,488.556709,,,,,468.221646,481.778354,461.443291,488.556709,True,False,False,True,True,True,True
2025-12-16,AAPL,272.000000,286.000000,274.000000,,,,,0.009266,2025-12-17,271.335876,275.647872,271.136266,271.461130,276.538870,268.922261,279.077739,,,,,271.461130,276.538870,268.922261,279.077739,False,False,False,False,True,False,True
2025-12-16,AMZN,217.000000,232.000000,223.000000,,,,,0.016694,2025-12-17,221.270004,225.190002,220.990005,219.277290,226.722710,215.554580,230.445420,,,,,219.277290,226.722710,215.554580,230.445420,True,False,False,True,True,True,True
