date,ticker,firm_low,firm_high,prev_close,sigma_daily,next_date,actual_close,actual_high,actual_low,rv_1s_low,rv_1s_high,rv_2s_low,rv_2s_high,atm_iv,iv_status,iv_1s_low,iv_1s_high,iv_2s_low,iv_2s_high,blend_1s_low,blend_1s_high,blend_2s_low,blend_2s_high,firm_hit,rv_1s_hit,rv_2s_hit,iv_1s_hit,iv_2s_hit,blend_1s_hit,blend_2s_hit
2025-12-09,GOOGL,311.000000,328.000000,314.000000,0.022376,2025-12-10,319.793732,320.892308,314.270922,306.973980,321.026020,299.947959,328.052041,0.171833,contaminated_live,310.601121,317.398879,307.202243,320.797757,309.512979,318.487021,305.025958,322.974042,True,True,True,False,True,False,True
2025-12-09,META,620.000000,681.000000,667.000000,0.018281,2025-12-10,648.443542,652.812185,641.731020,654.806448,679.193552,642.612895,691.387105,0.370389,contaminated_live,651.437345,682.562655,635.874690,698.125310,652.448076,681.551924,637.896152,696.103848,True,False,True,False,True,False,True
2025-12-09,MSFT,472.000000,496.000000,491.000000,0.013551,2025-12-10,476.438293,482.103069,472.973711,484.346564,497.653436,477.693128,504.306872,0.197835,contaminated_live,484.880940,497.119060,478.761880,503.238120,484.720627,497.279373,478.441254,503.558746,True,False,False,False,False,False,False
2025-12-09,NFLX,93.000000,105.000000,97.000000,0.024670,2025-12-10,92.709999,96.970001,92.349998,94.607053,99.392947,92.214105,101.785895,0.232901,contaminated_live,95.576878,98.423122,94.153756,99.846244,95.285931,98.714069,93.571861,100.428139,False,False,True,False,False,False,False
2025-12-09,NVDA,179.000000,194.000000,186.000000,0.020678,2025-12-10,183.770050,185.469955,182.030139,182.153805,189.846195,178.307611,193.692389,0.350432,contaminated_live,181.894026,190.105974,177.788053,194.211947,181.971960,190.028040,177.943920,194.056080,True,True,True,True,True,True,True
2025-12-09,ORCL,187.000000,229.000000,221.000000,0.029802,2025-12-10,221.647919,223.943823,216.251091,214.413793,227.586207,207.827585,234.172415,0.415748,contaminated_live,215.212083,226.787917,209.424167,232.575833,214.972596,227.027404,208.945192,233.054808,True,True,True,True,True,True,True
2025-12-09,TSLA,420.000000,463.000000,440.000000,0.027578,2025-12-10,451.450012,456.880005,443.609985,427.865566,452.134434,415.731133,464.268867,0.320035,contaminated_live,431.129471,448.870529,422.258942,457.741058,430.150300,449.849700,420.300599,459.699401,True,True,True,False,True,False,True
2025-12-10,AAPL,274.000000,288.000000,277.000000,0.009740,2025-12-11,277.514404,279.071509,273.302229,274.301911,279.698089,271.603822,282.396178,0.142085,contaminated_live,274.520705,279.479295,272.041409,281.958591,274.455066,279.544934,271.910133,282.089867,True,True,True,True,True,True,True
2025-12-10,AMZN,224.000000,236.000000,228.000000,0.017562,2025-12-11,230.279999,232.110001,228.690002,223.995946,232.004054,219.991892,236.008108,0.211678,contaminated_live,224.959746,231.040254,221.919492,234.080508,224.670606,231.329394,221.341212,234.658788,True,True,True,True,True,True,True
2025-12-10,GOOGL,310.000000,326.000000,317.000000,0.022405,2025-12-11,312.023834,320.702540,308.198827,309.897696,324.102304,302.795392,331.204608,0.171833,contaminated_live,313.568648,320.431352,310.137296,323.862704,312.467362,321.532638,307.934725,326.065275,True,True,True,False,True,False,True
2025-12-10,META,623.000000,679.000000,657.000000,0.018375,2025-12-11,651.016846,653.580186,639.137707,644.927566,669.072434,632.855132,681.144868,0.370389,contaminated_live,641.670668,672.329332,626.341337,687.658663,642.647738,671.352262,628.295475,685.704525,True,True,True,True,True,True,True
2025-12-10,MSFT,474.000000,497.000000,492.000000,0.014647,2025-12-11,481.326508,483.875155,473.750231,484.793575,499.206425,477.587150,506.412850,0.197835,contaminated_live,485.868477,498.131523,479.736955,504.263045,485.546007,498.453993,479.092013,504.907987,True,False,True,False,True,False,True
2025-12-10,NFLX,93.000000,103.000000,97.000000,0.025254,2025-12-11,94.089996,94.820000,92.760002,94.550385,99.449615,92.100770,101.899230,0.232901,contaminated_live,95.576878,98.423122,94.153756,99.846244,95.268930,98.731070,93.537860,100.462140,True,False,True,False,False,False,True
2025-12-10,NVDA,180.000000,190.000000,185.000000,0.019766,2025-12-11,180.920197,181.310190,176.610432,181.343253,188.656747,177.686506,192.313494,0.350432,contaminated_live,180.916102,189.083898,176.832203,193.167797,181.044247,188.955753,177.088494,192.911506,True,False,True,True,True,False,True
2025-12-10,ORCL,188.000000,231.000000,222.000000,0.029650,2025-12-11,197.635498,200.756319,185.092566,215.417750,228.582250,208.835501,235.164499,0.415748,contaminated_live,216.185894,227.814106,210.371787,233.628213,215.955451,228.044549,209.910901,234.089099,True,False,False,False,False,False,False
2025-12-10,TSLA,425.000000,462.000000,445.000000,0.027565,2025-12-11,446.890015,449.269989,440.329987,432.733774,457.266226,420.467548,469.532452,0.320035,contaminated_live,436.028670,453.971330,427.057339,462.942661,435.040201,454.959799,425.080402,464.919598,True,True,True,True,True,True,True
2025-12-11,AAPL,274.000000,288.000000,279.000000,0.009630,2025-12-12,277.763947,278.702206,276.306663,276.313093,281.686907,273.626186,284.373814,0.142085,contaminated_live,276.502804,281.497196,274.005607,283.994393,276.445890,281.554110,273.891781,284.108219,True,True,True,True,True,True,True
2025-12-11,AMZN,225.000000,238.000000,232.000000,0.017163,2025-12-12,226.190002,230.080002,225.119995,228.018081,235.981919,224.036162,239.963838,0.211678,contaminated_live,228.906408,235.093592,225.812816,238.187184,228.639910,235.360090,225.279820,238.720180,True,False,True,False,True,False,True
2025-12-11,GOOGL,311.000000,326.000000,320.000000,0.022896,2025-12-12,308.887939,314.460672,305.162777,312.673382,327.326618,305.346763,334.653237,0.171833,contaminated_live,316.536175,323.463825,313.072349,326.927651,315.377337,324.622663,310.754673,329.245327,False,False,True,False,False,False,False
2025-12-11,META,628.000000,677.000000,650.000000,0.016887,2025-12-12,642.558716,709.155520,636.953300,639.023699,660.976301,628.047399,671.952601,0.370389,contaminated_live,634.833995,665.166005,619.667989,680.332011,636.090906,663.909094,622.181812,677.818188,True,True,True,True,True,True,True
2025-12-11,MSFT,470.000000,493.000000,479.000000,0.014846,2025-12-12,476.408417,480.311051,474.228124,471.888816,486.111184,464.777632,493.222368,0.197835,contaminated_live,473.030489,484.969511,467.060978,490.939022,472.687987,485.312013,466.375974,491.624026,True,True,True,True,True,True,True
2025-12-11,NFLX,90.000000,99.000000,93.000000,0.025051,2025-12-12,95.190002,96.919998,94.650002,90.670291,95.329709,88.340583,97.659417,0.232901,contaminated_live,91.635564,94.364436,90.271127,95.728873,91.345982,94.654018,89.691964,96.308036,True,True,True,False,True,False,True
2025-12-11,NVDA,177.000000,189.000000,184.000000,0.019932,2025-12-12,175.010529,182.810109,174.610541,180.332442,187.667558,176.664884,191.335116,0.350432,contaminated_live,179.938177,188.061823,175.876353,192.123647,180.056456,187.943544,176.112912,191.887088,False,False,False,False,False,False,False
2025-12-11,ORCL,188.000000,224.000000,223.000000,0.037244,2025-12-12,188.809723,196.641599,184.844087,214.694659,231.305341,206.389319,239.610681,0.415748,contaminated_live,217.159704,228.840296,211.319408,234.680592,216.420191,229.579809,209.840381,236.159619,True,False,False,False,False,False,False
2025-12-11,TSLA,429.000000,465.000000,451.000000,0.027219,2025-12-12,458.959991,463.010010,441.670013,438.724188,463.275812,426.448375,475.551625,0.320035,contaminated_live,441.907708,460.092292,432.815416,469.184584,440.952652,461.047348,430.905304,471.094696,True,True,True,True,True,True,True
2025-12-12,AAPL,273.000000,287.000000,278.000000,0.009608,2025-12-15,273.601654,279.630462,272.334020,275.328868,280.671132,272.657735,283.342265,0.142085,contaminated_live,275.511754,280.488246,273.023508,282.976492,275.456888,280.543112,272.913776,283.086224,True,False,True,False,True,False,True
2025-12-12,AMZN,225.000000,237.000000,230.000000,0.016584,2025-12-15,222.539993,227.929993,221.500000,226.185726,233.814274,222.371452,237.628548,0.211678,contaminated_live,226.933077,233.066923,223.866154,236.133846,226.708872,233.291128,223.417743,236.582257,False,False,True,False,False,False,False
2025-12-12,GOOGL,310.000000,325.000000,312.000000,0.021849,2025-12-15,307.819305,311.015158,304.483651,305.183161,318.816839,298.366323,325.633677,0.171833,contaminated_live,308.622770,315.377230,305.245540,318.754460,307.590888,316.409112,303.181775,320.818225,False,True,True,False,True,True,True
2025-12-12,META,627.000000,674.000000,653.000000,0.017288,2025-12-15,646.357056,651.837270,637.562745,641.711189,664.288811,630.422378,675.577622,0.370389,contaminated_live,637.763998,668.236002,622.527995,683.472005,638.948155,667.051845,624.896310,681.103690,True,True,True,True,True,True,True
2025-12-12,MSFT,471.000000,492.000000,483.000000,0.014656,2025-12-15,472.714874,478.588710,470.425053,475.920989,490.079011,468.841977,497.158023,0.197835,contaminated_live,476.980639,489.019361,470.961279,495.038721,476.662744,489.337256,470.325488,495.674512,True,False,True,False,True,False,True
2025-12-12,NFLX,88.000000,98.000000,94.000000,0.025476,2025-12-15,93.769997,96.370003,93.529999,91.605230,96.394770,89.210461,98.789539,0.232901,contaminated_live,92.620892,95.379108,91.241785,96.758215,92.316194,95.683806,90.632387,97.367613,True,True,True,True,True,True,True
2025-12-12,NVDA,176.000000,186.000000,181.000000,0.019673,2025-12-15,176.280457,178.410346,175.020530,177.439270,184.560730,173.878539,188.121461,0.350432,contaminated_live,177.004402,184.995598,173.008804,188.991196,177.134862,184.865138,173.269725,188.730275,True,False,True,False,True,False,True
2025-12-12,ORCL,187.000000,212.000000,199.000000,0.037409,2025-12-15,183.790558,187.815825,180.292053,191.555651,206.444349,184.111302,213.888698,0.415748,contaminated_live,193.788256,204.211744,188.576512,209.423488,193.118475,204.881525,187.236949,210.763051,False,False,False,False,False,False,False
2025-12-12,TSLA,434.000000,465.000000,447.000000,0.022410,2025-12-15,475.309998,481.769989,467.660004,436.982825,457.017175,426.965650,467.034350,0.320035,contaminated_live,437.988349,456.011651,428.976698,465.023302,437.686692,456.313308,428.373384,465.626616,False,False,False,False,False,False,False
2025-12-15,AAPL,273.000000,287.000000,278.000000,0.010241,2025-12-16,274.100739,274.989103,271.285991,275.153074,280.846926,272.306147,283.693853,0.142085,contaminated_live,275.511754,280.488246,273.023508,282.976492,275.404150,280.595850,272.808300,283.191700,True,False,True,False,True,False,True
2025-12-15,AMZN,222.000000,236.000000,226.000000,0.016731,2025-12-16,222.559998,223.660004,221.130005,222.218787,229.781213,218.437574,233.562426,0.211678,contaminated_live,222.986415,229.013585,219.972829,232.027171,222.756126,229.243874,219.512253,232.487747,True,True,True,False,True,False,True
